Time_s,Input_Flow_Smoothed,Output_Flow_Smoothed
0,0.00760245468511449,-0.1503202073973
0.00500000000000966,0.0111866315474708,-0.35204111898098
0.0109999999999957,-0.0130614074138566,-0.726007797652881
0.0160000000000053,-0.090595693940474,-1.33555207924313
0.0210000000000008,-0.251217964989528,-2.20816602326777
0.0259999999999962,-0.541858151014938,-3.2677310056678
0.0310000000000059,-0.986432736587276,-4.50993120563432
0.0360000000000014,-1.6135374464309,-5.78853404155202
0.0420000000000016,-2.42632245124648,-6.97979054732905
0.046999999999997,-3.40049919170087,-7.99483002680885
0.0520000000000067,-4.50724373656559,-8.77440140324524
0.0580000000000069,-5.71845884127954,-9.3193790337847
0.0630000000000024,-7.02482725758705,-9.65252874687594
0.0679999999999978,-8.44750766870691,-9.82896590304748
0.0730000000000075,-10.0469157193335,-9.88853772070966
0.078000000000003,-11.8690811908852,-9.79707962240004
0.085000000000008,-13.9418272559348,-9.73781006672115
0.0900000000000034,-16.2367930376033,-9.59246825795933
0.0949999999999989,-18.6663139077329,-9.40083011733107
0.100999999999999,-21.0806225295405,-9.19281321769143
0.105000000000004,-23.2835063017048,-9.00476094911115
0.109999999999999,-25.0973192662776,-8.77759753560407
0.115000000000009,-26.3797776207189,-8.58088642138672
0.120000000000005,-27.0950413835722,-8.39424222570865
0.12700000000001,-27.2967282220148,-8.21305224363377
0.132000000000005,-27.1112923626666,-8.04277652497947
0.137,-26.6841474000759,-7.86712025401382
0.141999999999996,-26.1443198524474,-7.69675323368237
0.147000000000006,-25.5521707386199,-7.51648603350193
0.152000000000001,-24.9286299220606,-7.33598417917277
0.158000000000001,-24.2891391216291,-7.15721072553767
0.162999999999997,-23.6250815172863,-6.96195230598087
0.168999999999997,-22.9503490164669,-6.77500323567546
0.174000000000007,-22.2747869291217,-6.58253549464168
0.179000000000002,-21.6117163422817,-6.38763407576571
0.183999999999997,-20.9696551588298,-6.19210063258884
0.188000000000002,-20.3488811233133,-5.98977883783794
0.194000000000003,-19.7437526654544,-5.77907173028894
0.198999999999998,-19.1510656372629,-5.57753215679753
0.204000000000008,-18.5707860296314,-5.38031796812606
0.210999999999999,-17.9989180263206,-5.20011712283114
0.215000000000003,-17.4444421913209,-5.04283077311179
0.219999999999999,-16.9063572768482,-4.90491731826791
0.225000000000009,-16.3985175818426,-4.78395288377502
0.230000000000004,-15.9091415989714,-4.67327697304709
0.236000000000004,-15.4337029550674,-4.56334375820576
0.241,-14.9805891595452,-4.44977779971614
0.246000000000009,-14.5298183891319,-4.32971453185824
0.253,-14.0811100395865,-4.20298313555247
0.25800000000001,-13.6321607839399,-4.08167368666654
0.263000000000005,-13.188386604683,-3.96321937762565
0.268000000000001,-12.7508880254233,-3.85656293697338
0.272999999999996,-12.3268103530192,-3.75826175610542
0.278000000000006,-11.9205596794392,-3.6652820572779
0.283000000000001,-11.5316105749542,-3.58056717151184
0.287999999999997,-11.1692025376627,-3.50251640880616
0.293999999999997,-10.8346490817356,-3.43376419668713
0.299999999999997,-10.5338977690001,-3.37578316481894
0.304000000000002,-10.2581684974375,-3.32914212450645
0.310000000000002,-10.0039352737689,-3.27945811232613
0.314999999999998,-9.76152508261809,-3.22533356311081
0.320000000000007,-9.51883921949687,-3.15745166280626
0.325000000000003,-9.2850156685145,-3.07332749517711
0.329999999999998,-9.04708139753867,-2.97927701213299
