#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BE893B
#Date Time: 2026-02-11 14:45:55.708.562.720
#Sample rate: 2.5e+07Hz
#Samples: 32768
#Trigger: Source: Wavegen C1 Condition: Rising
#Average: 100
#Channel 1: Range: 2 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 20 mV/div Offset: -1.5 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 0.1 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3 V Readback: 3.002027348 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.00025536,0.02415491523025865,1.504967946971449
-0.00025532,0.02602403836913941,1.505067840063818
-0.0002552799999999999,0.0261588309031937,1.504850749563867
-0.0002552399999999999,0.02637449895767955,1.505098515895333
-0.0002552,0.02512542147544674,1.504944350177976
-0.00025516,0.02396620568258319,1.504976599129055
-0.00025512,0.02501758744820361,1.504923899623632
-0.00025508,0.0256106745980397,1.504959294813841
-0.0002550399999999999,0.0250086012792656,1.505023006156218
-0.000255,0.02441551412942953,1.504964014172537
-0.00025496,0.02542196505036531,1.504863334520385
-0.00025492,0.02391228866896163,1.504989970645356
-0.00025488,0.02499961511032777,1.504992330324704
-0.0002548399999999999,0.02598809369339002,1.504978958808403
-0.0002548,0.02506251829288825,1.504999409362746
-0.00025476,0.02533210336099604,1.504990757205139
-0.00025472,0.02415491523025865,1.504918393705154
-0.00025468,0.02504454595501277,1.504936484580152
-0.0002546399999999999,0.02554777141548097,1.505050535748604
-0.0002546,0.02481989173159124,1.504907381868201
-0.00025456,0.02421781841281715,1.504983678167098
-0.00025452,0.02486482257627587,1.504927045862762
-0.00025448,0.02540399271249145,1.504964014172537
-0.0002544399999999999,0.02520629699587828,1.505089863737726
-0.0002543999999999999,0.02476597471796967,1.504892437232334
-0.00025436,0.02550284057079764,1.505079638460553
-0.00025432,0.02542196505036531,1.504865694199733
-0.00025428,0.024604223677105,1.505007274960571
-0.00025424,0.02432565244006077,1.504973452889926
-0.0002541999999999999,0.02402910886514169,1.505067840063817
-0.00025416,0.02486482257627586,1.505084357819249
-0.00025412,0.02469408536647426,1.504993116884486
-0.00025408,0.02526920017843756,1.504868840438862
-0.00025404,0.02583532882146291,1.504986037846445
-0.0002539999999999999,0.02561966076697737,1.505057614786645
-0.00025396,0.02543993738823917,1.50492940554211
-0.00025392,0.02590721817295934,1.504988397525792
-0.00025388,0.0241009982166371,1.504825579650829
-0.00025384,0.0249726566035174,1.505019073357305
-0.0002537999999999999,0.02308556112676701,1.505026152395348
-0.00025376,0.02452334815667265,1.505043456710562
-0.00025372,0.02465814069072655,1.50507177286273
-0.00025368,0.02585330115933778,1.504948282976888
-0.00025364,0.02549385440186138,1.505077278781206
-0.0002535999999999999,0.02449638964986161,1.505046602949691
-0.00025356,0.02435261094687104,1.505007274960571
-0.00025352,0.02500860127926669,1.504949069536671
-0.00025348,0.02470307153541118,1.505011207759482
-0.00025344,0.02461320984604192,1.504873559797558
-0.0002534,0.0255477714154806,1.504970306650795
-0.0002533599999999999,0.02473003004222197,1.505069413183383
-0.00025332,0.02453233432560958,1.505061547585557
-0.00025328,0.02566459161166234,1.505113460531199
-0.00025324,0.02565560544272541,1.50497817224862
-0.0002532,0.02549385440186103,1.505168519715969
-0.0002531599999999999,0.02579938414571515,1.505037950792084
-0.00025312,0.02519731082694214,1.505049749188822
-0.00025308,0.02416390139919557,1.505081998139901
-0.00025304,0.02499062894139284,1.504894796911683
-0.000253,0.02559270226016582,1.505055255107298
-0.0002529599999999999,0.02462219601498053,1.505081211580118
-0.00025292,0.0255477714154823,1.505045029830127
-0.00025288,0.02441551412942952,1.505099302455115
-0.00025284,0.02465814069072655,1.505041097031214
-0.0002528,0.02452334815667289,1.505028512074696
-0.0002527599999999999,0.024020122696206,1.505078065340989
-0.00025272,0.02470307153541118,1.505070199743165
-0.00025268,0.02480191939371737,1.5050104211997
-0.00025264,0.0255118267397346,1.505095369656203
-0.0002526,0.02608694155169789,1.50507177286273
-0.00025256,0.02596113518658114,1.505115033650763
-0.0002525199999999999,0.02473003004222196,1.505056828226863
-0.00025248,0.0256556054427254,1.505146496042062
-0.00025244,0.02492772575883436,1.504985251286662
-0.0002524,0.02458625133923113,1.505085930938813
-0.00025236,0.02508947679969811,1.505118966449676
-0.0002523199999999999,0.02584431499039924,1.505025365835566
-0.00025228,0.0249456980967082,1.505001769042094
-0.00025224,0.02492772575883435,1.505100089014898
-0.0002522,0.02527818634737449,1.505140990123584
-0.00025216,0.02514339381332082,1.505028512074696
-0.0002521199999999999,0.02453233432561022,1.50502693895513
-0.00025208,0.02488279491414972,1.505012780879048
-0.00025204,0.02530514485418527,1.505056041667081
-0.000252,0.02622173408575178,1.505106381493157
-0.00025196,0.02596113518658139,1.505124472368153
-0.0002519199999999999,0.02512542147544568,1.505050535748605
