time_ms,p1,p2,f3,f4
7116.0,221.0,213.0,0.025,6.48
7119.0,24.0,-158.0,0.033,6.96
7123.0,-13.0,-193.0,0.0,6.96
7127.0,-196.0,-78.0,-0.017,6.23
7131.0,-293.0,41.0,0.067,6.48
7134.0,6.0,-86.0,0.025,6.96
7138.0,67.0,-121.0,0.025,6.48
7141.0,-80.0,-180.0,0.067,6.96
7145.0,-69.0,-219.0,0.042,6.48
7148.0,-214.0,94.0,0.033,6.72
7152.0,-769.0,111.0,0.042,6.48
7155.0,-460.0,-174.0,-0.008,6.48
7159.0,13.0,327.0,0.042,6.48
7162.0,6.0,118.0,0.008,6.48
7166.0,-229.0,-283.0,0.05,6.48
7170.0,-92.0,-260.0,0.042,6.96
7174.0,133.0,-407.0,0.042,7.21
7177.0,-20.0,-570.0,0.05,6.72
7181.0,27.0,-489.0,0.025,6.48
7184.0,-8.0,-316.0,0.092,6.48
7188.0,-413.0,-417.0,0.033,6.48
7191.0,-144.0,-620.0,0.033,6.48
7195.0,-201.0,157.0,0.067,6.48
7199.0,102.0,10.0,0.042,6.96
7202.0,303.0,-159.0,0.067,6.72
7206.0,-68.0,-480.0,0.1,6.72
7209.0,-75.0,-487.0,0.033,7.21
7214.0,-386.0,-152.0,-0.025,6.96
7217.0,-409.0,-301.0,-0.017,6.48
7221.0,-544.0,-414.0,0.008,6.48
7224.0,-515.0,-85.0,0.0,6.48
7228.0,-278.0,-74.0,-0.067,6.48
7231.0,23.0,-147.0,0.008,6.72
7235.0,-170.0,-332.0,-0.042,6.96
7238.0,-299.0,-429.0,0.017,6.72
7242.0,-226.0,58.0,-0.008,6.96
7245.0,-95.0,199.0,0.05,6.48
7249.0,-134.0,-138.0,0.058,6.48
7254.0,17.0,-231.0,0.033,6.48
7257.0,198.0,24.0,0.008,6.96
7261.0,195.0,49.0,0.083,6.48
7264.0,-256.0,148.0,-0.008,6.48
7268.0,-421.0,-287.0,0.075,6.48
7271.0,-304.0,-370.0,0.042,6.48
7275.0,-225.0,-179.0,0.033,6.72
7278.0,-278.0,-134.0,-0.008,7.21
7282.0,-53.0,-87.0,-0.017,6.48
7285.0,14.0,-284.0,0.008,6.48
7289.0,35.0,-239.0,0.067,6.48
7292.0,-80.0,-202.0,0.067,6.96
7297.0,-241.0,-15.0,0.083,6.48
7300.0,92.0,-118.0,0.008,6.72
7304.0,45.0,-385.0,-0.008,7.21
7307.0,-28.0,-398.0,0.033,6.48
7311.0,-257.0,-171.0,0.017,6.48
7314.0,-294.0,16.0,0.017,6.96
7318.0,-45.0,-279.0,0.042,6.48
7321.0,22.0,-30.0,-0.033,6.96
7325.0,-91.0,189.0,0.067,7.45
7328.0,64.0,252.0,0.058,6.72
7332.0,133.0,269.0,0.042,6.96
7335.0,156.0,32.0,0.05,6.72
7340.0,23.0,-295.0,0.05,6.72
7343.0,-2.0,-114.0,0.05,6.48
7347.0,-207.0,379.0,0.05,6.48
7350.0,14.0,164.0,0.033,6.72
7354.0,-43.0,19.0,0.067,6.96
7357.0,-104.0,10.0,0.017,6.48
7361.0,-277.0,371.0,0.05,6.48
7365.0,-312.0,236.0,0.058,7.21
7368.0,231.0,-3.0,0.083,6.48
7372.0,-144.0,-276.0,0.042,6.96
7375.0,63.0,-407.0,0.033,6.48
7379.0,90.0,-164.0,-0.008,6.72
7383.0,335.0,-65.0,0.008,6.96
7387.0,186.0,-298.0,0.025,6.48
7390.0,145.0,-195.0,-0.042,6.48
7394.0,-22.0,-192.0,-0.025,6.96
7397.0,5.0,3.0,0.05,6.96
7401.0,-158.0,-136.0,-0.033,6.48
7404.0,-233.0,-85.0,0.025,6.48
7408.0,-326.0,-346.0,0.067,6.48
7411.0,-293.0,33.0,0.042,6.48
7415.0,-84.0,96.0,0.067,6.72
7418.0,-169.0,-199.0,0.067,6.96
7422.0,-188.0,-570.0,0.042,6.72
7426.0,-25.0,-411.0,0.042,7.21
7430.0,242.0,-48.0,0.0,6.72
7433.0,-133.0,19.0,-0.017,6.48
7437.0,-244.0,-734.0,0.025,6.96
7440.0,127.0,-447.0,0.033,6.48
7444.0,-176.0,-96.0,0.017,6.96
7447.0,-299.0,-275.0,0.0,6.96
7451.0,-604.0,-312.0,0.008,6.72
7455.0,-403.0,-341.0,-0.017,6.72
7458.0,-92.0,-18.0,0.017,6.96
7462.0,-167.0,209.0,0.033,6.48
7465.0,-34.0,194.0,0.05,6.72
7470.0,113.0,-79.0,0.042,6.72
7473.0,-14.0,-228.0,0.017,6.48
7477.0,-213.0,-55.0,0.025,6.96
7480.0,-64.0,32.0,0.075,6.48
7484.0,23.0,-483.0,0.075,6.72
7487.0,94.0,-662.0,0.058,6.72
7491.0,-53.0,-429.0,0.058,6.48
7494.0,-276.0,-74.0,0.092,6.72
7498.0,-115.0,187.0,0.067,6.72
7501.0,-60.0,-4.0,-0.033,6.96
7505.0,-361.0,-239.0,0.092,6.48
7508.0,-162.0,88.0,0.042,6.96
7513.0,63.0,243.0,-0.017,6.72
7516.0,-370.0,170.0,0.033,6.48
7520.0,-407.0,-119.0,-0.025,6.48
7523.0,-244.0,-202.0,0.042,6.48
7527.0,-31.0,-89.0,-0.05,6.72
7530.0,-42.0,0.0,0.067,6.48
7534.0,-153.0,-117.0,-0.008,7.21
7537.0,78.0,-588.0,0.05,6.48
7541.0,171.0,-379.0,0.042,6.96
7544.0,-26.0,142.0,0.042,6.96
7548.0,-163.0,283.0,0.067,6.48
7552.0,-196.0,270.0,0.075,6.48
7556.0,-63.0,-237.0,0.017,6.72
7560.0,36.0,158.0,0.075,6.48
7563.0,27.0,143.0,0.058,6.48
7567.0,-178.0,-264.0,0.033,6.48
7570.0,-201.0,-289.0,0.025,6.48
7574.0,-240.0,-436.0,0.025,6.96
7577.0,-333.0,-157.0,0.067,6.48
7581.0,-366.0,-54.0,-0.008,6.96
7584.0,-119.0,21.0,0.042,6.48
7588.0,344.0,-320.0,0.025,6.48
7591.0,111.0,-245.0,0.042,6.72
7596.0,-186.0,26.0,0.042,6.48
7599.0,-51.0,149.0,0.025,6.72
7603.0,-110.0,-232.0,0.008,6.48
7606.0,129.0,-383.0,-0.008,6.48
7610.0,156.0,-306.0,0.025,6.72
7614.0,-191.0,-315.0,0.017,6.72
7617.0,-178.0,-212.0,0.0,6.48
7621.0,-11.0,-179.0,0.033,6.48
7624.0,-80.0,-276.0,0.067,6.96
7628.0,-197.0,-509.0,0.058,6.96
7631.0,-484.0,-350.0,0.042,6.96
7635.0,23.0,-149.0,0.067,7.21
7639.0,252.0,-320.0,0.025,6.48
7643.0,259.0,-517.0,0.025,6.48
7646.0,-46.0,228.0,0.067,6.48
7650.0,-229.0,-99.0,0.033,6.96
7653.0,160.0,-604.0,0.067,6.48
7657.0,131.0,-499.0,-0.017,6.48
7661.0,-38.0,-196.0,0.017,6.96
7664.0,-153.0,99.0,0.058,6.72
7668.0,-226.0,76.0,0.083,6.96
7671.0,97.0,-737.0,0.058,6.48
7675.0,348.0,-306.0,-0.008,7.21
7678.0,187.0,213.0,0.083,7.21
7683.0,182.0,6.0,-0.008,6.48
7686.0,-177.0,187.0,0.0,6.48
7690.0,108.0,-54.0,-0.033,6.72
7693.0,45.0,115.0,0.017,7.21
