time_ms,p1,p2,f3,f4
2768.0,15.0,-309.0,0.058,6.48
2771.0,-74.0,-80.0,0.058,6.72
2776.0,-217.0,197.0,0.058,6.48
2779.0,-574.0,316.0,0.108,6.48
2783.0,149.0,-1.0,0.025,6.72
2786.0,306.0,-264.0,0.042,6.72
2790.0,169.0,129.0,0.017,6.48
2793.0,-100.0,196.0,0.092,6.48
2797.0,-81.0,-61.0,0.025,6.48
2800.0,-272.0,-74.0,0.083,6.48
2804.0,-317.0,-95.0,0.15,6.72
2807.0,-58.0,328.0,0.017,6.48
2811.0,3.0,413.0,-0.033,6.48
2814.0,-230.0,-6.0,-0.058,6.48
2819.0,-105.0,-31.0,0.033,6.72
2822.0,-216.0,248.0,-0.017,6.96
2826.0,-345.0,633.0,0.025,6.72
2830.0,-172.0,498.0,0.075,5.99
2833.0,-19.0,55.0,0.033,6.48
2837.0,236.0,198.0,0.025,6.48
2840.0,135.0,305.0,0.025,6.48
2844.0,8.0,114.0,0.025,6.72
2847.0,-121.0,-27.0,0.1,6.96
2851.0,52.0,-108.0,0.108,6.48
2854.0,-303.0,-261.0,0.025,6.48
2859.0,-182.0,-108.0,0.0,6.48
2862.0,-431.0,167.0,0.017,6.48
2866.0,-34.0,-182.0,0.017,6.48
2869.0,169.0,-315.0,0.0,6.48
2873.0,166.0,254.0,0.108,6.48
2876.0,289.0,693.0,0.083,6.96
2880.0,62.0,410.0,-0.083,6.48
2883.0,-45.0,-291.0,-0.058,6.48
2887.0,-140.0,-68.0,-0.008,6.96
2890.0,-279.0,233.0,0.033,6.48
2894.0,-498.0,428.0,0.067,6.48
2898.0,-263.0,189.0,0.058,6.96
2902.0,-74.0,-76.0,-0.025,6.96
2906.0,21.0,-217.0,0.008,7.21
2909.0,248.0,332.0,-0.042,6.48
2913.0,377.0,107.0,0.017,6.96
2916.0,8.0,-24.0,0.067,6.72
2920.0,-137.0,-35.0,0.067,6.96
2923.0,-124.0,-48.0,0.042,6.48
2927.0,-39.0,135.0,0.017,6.72
2930.0,12.0,196.0,-0.017,6.48
2934.0,-85.0,-87.0,0.083,6.48
2937.0,-98.0,104.0,0.1,6.96
2941.0,-353.0,171.0,0.108,6.48
2945.0,-170.0,214.0,0.042,6.48
