time_ms,p1,p2,f3,f4
8754.0,81.0,2409.0,0.042,6.48
8760.0,149.0,2329.0,-0.017,6.23
8764.0,198.0,2624.0,-0.092,6.72
8769.0,-66.0,2480.0,0.017,6.23
8775.0,12.0,2890.0,0.0,6.23
8779.0,383.0,2841.0,0.108,6.23
8785.0,169.0,2477.0,0.092,6.23
8791.0,53.0,2470.0,0.058,6.23
8795.0,196.0,2429.0,0.075,6.72
8800.0,346.0,2745.0,-0.008,6.23
8805.0,-29.0,2610.0,-0.067,6.23
8810.0,15.0,2932.0,0.008,6.48
8816.0,303.0,2514.0,0.058,6.96
8820.0,642.0,2043.0,-0.008,6.72
8826.0,144.0,2349.0,0.058,6.48
8832.0,234.0,2495.0,0.058,6.96
8836.0,311.0,2460.0,-0.042,6.23
8842.0,-15.0,2528.0,0.025,6.96
8847.0,459.0,2441.0,0.083,6.23
8851.0,596.0,2610.0,0.0,6.48
8857.0,144.0,2636.0,0.083,6.48
8862.0,336.0,2833.0,0.067,6.96
8866.0,191.0,2891.0,-0.025,6.23
8872.0,189.0,2217.0,0.042,6.23
8878.0,777.0,2356.0,0.058,6.48
8883.0,496.0,2794.0,-0.017,6.23
8888.0,314.0,2698.0,0.067,6.96
8893.0,300.0,2807.0,0.042,6.23
8898.0,439.0,2511.0,0.008,6.96
8903.0,-9.0,2535.0,0.017,6.48
8908.0,243.0,2952.0,0.092,6.72
8913.0,418.0,2596.0,0.008,6.48
8920.0,112.0,2670.0,0.017,6.48
8925.0,500.0,3035.0,0.025,6.23
8930.0,249.0,2431.0,0.033,6.48
8935.0,207.0,2763.0,0.033,6.23
8940.0,63.0,2612.0,0.042,6.23
8945.0,24.0,2716.0,0.033,6.96
8950.0,608.0,2645.0,0.0,6.48
8954.0,573.0,2834.0,0.05,6.23
8961.0,311.0,2996.0,0.05,6.72
8966.0,73.0,3081.0,-0.058,6.23
8970.0,168.0,2775.0,0.05,6.23
8976.0,182.0,2885.0,-0.025,6.96
8981.0,266.0,2924.0,0.067,6.96
8986.0,289.0,2868.0,0.067,6.72
8991.0,-21.0,2542.0,0.033,6.48
8996.0,111.0,2493.0,0.067,6.23
9001.0,252.0,2423.0,-0.017,6.23
9007.0,244.0,2667.0,0.092,6.96
9012.0,206.0,2492.0,0.058,7.21
9017.0,141.0,2540.0,0.033,6.48
9023.0,283.0,2554.0,0.025,6.48
9028.0,363.0,2505.0,0.058,6.96
9033.0,82.0,2645.0,0.05,6.23
