time_ms,p1,p2,f3,f4
59366.0,-420.0,4051.0,0.008,6.23
59372.0,-286.0,4477.0,0.0,6.48
59377.0,-119.0,4039.0,0.058,6.48
59382.0,-43.0,3778.0,0.008,6.23
59387.0,93.0,4242.0,0.008,6.48
59393.0,40.0,4462.0,0.083,6.72
59398.0,234.0,4397.0,0.067,6.72
59404.0,534.0,4345.0,0.033,6.23
59409.0,325.0,4253.0,0.042,6.48
59414.0,-171.0,4032.0,0.017,5.74
59419.0,-65.0,3789.0,0.008,6.96
59423.0,252.0,3694.0,0.042,6.48
59428.0,292.0,4213.0,-0.117,6.72
59433.0,225.0,3985.0,0.0,6.23
59439.0,51.0,4066.0,0.025,6.96
59444.0,135.0,4013.0,0.05,6.48
59449.0,-82.0,4328.0,-0.033,6.72
59454.0,-158.0,4365.0,0.008,6.23
59459.0,-31.0,4499.0,0.0,6.48
59463.0,349.0,4414.0,0.017,6.72
59469.0,73.0,4054.0,0.033,6.23
59474.0,-400.0,3980.0,0.05,6.23
59479.0,23.0,3805.0,0.125,6.48
59484.0,-170.0,4195.0,-0.042,6.96
59489.0,-75.0,4362.0,0.058,6.48
59494.0,-271.0,3680.0,-0.025,6.72
59499.0,-266.0,4124.0,0.033,6.23
59504.0,-95.0,4487.0,0.142,6.96
59509.0,-241.0,4039.0,0.008,7.7
59514.0,80.0,3858.0,-0.042,6.23
59520.0,-66.0,4099.0,0.058,6.72
59525.0,-193.0,4015.0,0.0,6.96
59529.0,-162.0,4098.0,0.042,6.48
59535.0,14.0,4234.0,-0.008,6.23
59539.0,19.0,4195.0,0.033,6.23
59544.0,113.0,4108.0,-0.017,6.48
59549.0,160.0,3988.0,0.042,6.72
59554.0,-93.0,4137.0,0.008,6.72
59559.0,-267.0,4575.0,-0.008,6.23
59565.0,122.0,4400.0,0.058,6.23
59570.0,264.0,4145.0,0.042,6.96
59575.0,31.0,4173.0,-0.05,8.19
59579.0,220.0,4086.0,-0.025,6.23
59585.0,86.0,3936.0,0.017,6.23
59589.0,157.0,3991.0,0.033,6.23
59594.0,-9.0,4142.0,-0.008,6.48
59599.0,-76.0,3804.0,0.033,6.23
59604.0,-401.0,3951.0,0.017,6.48
59610.0,-9.0,4213.0,0.05,6.96
59615.0,-220.0,4014.0,0.092,6.23
59620.0,-170.0,4151.0,0.008,6.96
59625.0,-91.0,4083.0,0.025,6.72
59629.0,114.0,4168.0,-0.058,6.23
59635.0,-344.0,4192.0,0.083,6.48
59639.0,-381.0,4453.0,0.017,6.48
59644.0,281.0,4288.0,0.083,6.96
59650.0,4.0,4548.0,0.008,6.48
