time_ms,p1,p2,f3,f4
11042.0,451.0,1664.0,0.033,6.23
11047.0,115.0,1881.0,0.058,6.48
11052.0,168.0,1766.0,0.008,6.72
11057.0,378.0,1495.0,0.033,6.48
11062.0,307.0,1602.0,0.042,6.48
11066.0,4.0,1835.0,-0.025,6.48
11071.0,57.0,1650.0,0.083,6.48
11076.0,63.0,1882.0,0.092,6.48
11081.0,127.0,2043.0,0.017,6.23
11086.0,242.0,1655.0,0.075,6.23
11091.0,514.0,1531.0,0.033,6.23
11097.0,12.0,1680.0,0.067,6.96
11102.0,-137.0,1841.0,0.058,6.96
11107.0,175.0,1770.0,0.042,6.23
11112.0,141.0,2121.0,-0.008,6.72
11117.0,-144.0,1713.0,0.017,6.23
11122.0,88.0,2016.0,0.05,6.72
11127.0,195.0,1911.0,0.042,6.48
11132.0,131.0,1920.0,0.033,6.72
11138.0,-1.0,1497.0,0.108,6.48
11142.0,154.0,1871.0,0.05,6.23
11147.0,82.0,1660.0,0.042,6.23
11152.0,249.0,2236.0,0.033,6.72
11157.0,176.0,2073.0,0.025,6.23
11162.0,-124.0,1616.0,0.008,6.23
11167.0,-39.0,2012.0,-0.017,6.23
11172.0,153.0,1787.0,0.008,6.23
11177.0,-146.0,1531.0,0.008,6.23
11182.0,311.0,1556.0,0.042,6.96
11187.0,149.0,1637.0,0.05,6.23
11192.0,54.0,1493.0,0.042,6.23
11197.0,-78.0,1644.0,-0.017,6.72
11202.0,115.0,2038.0,0.025,6.23
11207.0,334.0,1791.0,0.042,6.96
11212.0,-352.0,1754.0,0.117,6.96
11217.0,-173.0,1576.0,0.008,6.23
11223.0,473.0,1555.0,0.017,6.23
11228.0,48.0,1898.0,0.108,6.23
11232.0,-236.0,1863.0,0.108,6.23
11237.0,92.0,1996.0,0.033,6.96
11242.0,211.0,2044.0,0.017,6.72
11247.0,251.0,2079.0,-0.033,6.23
11252.0,320.0,1968.0,0.05,6.23
11257.0,334.0,1492.0,0.117,6.48
11262.0,220.0,1569.0,-0.025,6.96
11268.0,229.0,1721.0,0.067,6.23
11273.0,68.0,1650.0,0.083,6.23
11278.0,66.0,1843.0,0.008,6.48
11282.0,-123.0,1790.0,0.0,6.23
11287.0,95.0,1663.0,0.008,6.23
11292.0,400.0,1831.0,0.05,5.99
11297.0,74.0,1652.0,0.05,6.23
11302.0,215.0,1873.0,0.092,6.48
