time_ms,p1,p2,f3,f4
227978.0,121.0,1757.0,0.075,6.48
227984.0,9.0,1815.0,-0.017,6.48
227988.0,-302.0,1680.0,-0.017,6.96
227994.0,358.0,1852.0,0.083,6.96
227999.0,-118.0,1804.0,0.083,6.96
228004.0,31.0,1605.0,0.075,6.96
228009.0,193.0,2005.0,0.1,6.48
228016.0,87.0,1527.0,0.15,6.23
228020.0,54.0,1634.0,0.033,6.96
228026.0,-228.0,2120.0,0.05,6.48
228031.0,94.0,1542.0,0.083,6.23
228037.0,120.0,1754.0,0.092,6.96
228041.0,-225.0,1661.0,0.033,6.23
228047.0,71.0,1541.0,0.033,6.23
228052.0,183.0,1563.0,0.067,6.96
228058.0,226.0,1706.0,0.142,6.48
228063.0,206.0,1706.0,-0.008,6.23
228069.0,226.0,1980.0,0.058,6.96
228074.0,12.0,1773.0,0.1,6.48
228078.0,-53.0,1844.0,0.225,6.72
228084.0,41.0,1788.0,0.142,6.48
228088.0,136.0,1995.0,0.042,6.48
228093.0,177.0,1839.0,0.0,6.48
228100.0,-69.0,1849.0,0.008,6.96
228105.0,190.0,1978.0,0.133,6.96
228110.0,92.0,2208.0,0.083,6.23
228115.0,186.0,1506.0,0.058,6.23
228121.0,-10.0,1809.0,0.108,6.23
228125.0,-119.0,1488.0,0.083,6.48
228131.0,-493.0,1884.0,0.058,6.48
228135.0,-404.0,1813.0,0.0,6.23
228142.0,146.0,1973.0,0.058,6.23
228147.0,-124.0,1859.0,0.042,6.48
228152.0,64.0,2020.0,0.067,6.48
228157.0,49.0,2187.0,0.025,6.23
228162.0,147.0,2029.0,-0.025,6.48
228167.0,126.0,1780.0,0.133,6.23
228172.0,75.0,2116.0,0.042,6.72
228177.0,-205.0,2004.0,0.083,6.96
228183.0,-104.0,2051.0,0.075,6.48
228188.0,164.0,2011.0,0.0,6.48
228194.0,164.0,2097.0,0.033,5.99
228199.0,648.0,2076.0,0.042,6.96
228204.0,125.0,2129.0,0.008,6.96
228209.0,-73.0,2043.0,0.05,6.48
228214.0,-86.0,1948.0,0.167,6.48
228219.0,-70.0,1694.0,0.033,6.23
228226.0,356.0,1800.0,0.092,6.72
228231.0,190.0,1861.0,0.05,6.96
228235.0,127.0,1860.0,0.017,6.72
228241.0,119.0,1852.0,0.008,6.96
228246.0,-83.0,2029.0,0.117,6.96
228251.0,20.0,1743.0,0.067,6.48
228256.0,318.0,1875.0,0.075,6.23
228261.0,-270.0,1926.0,0.05,6.48
228267.0,-93.0,1605.0,0.0,6.72
228272.0,365.0,1905.0,0.033,6.48
228277.0,-161.0,2066.0,0.042,6.96
228282.0,-162.0,1744.0,0.017,6.48
228288.0,10.0,2098.0,0.1,6.48
228293.0,220.0,2037.0,0.008,6.48
228298.0,-69.0,1812.0,-0.025,6.23
228303.0,-17.0,2140.0,0.05,6.48
228308.0,-21.0,1913.0,0.058,6.72
228314.0,-120.0,1871.0,0.0,6.23
228319.0,-74.0,1839.0,0.083,6.48
228324.0,532.0,2022.0,0.025,6.72
228329.0,159.0,1827.0,0.125,6.23
228335.0,7.0,2305.0,0.142,6.23
228340.0,-295.0,2454.0,0.05,6.96
228345.0,52.0,1966.0,0.092,6.48
