time_ms,p1,p2,f3,f4
35085.0,128.0,156104.0,0.067,6.23
35090.0,594.0,155960.0,0.075,6.23
35095.0,-12.0,155889.0,0.008,6.23
35100.0,-1.0,155784.0,0.0,6.48
35105.0,373.0,155720.0,0.042,6.48
35110.0,392.0,155859.0,0.0,6.23
35117.0,184.0,155963.0,-0.042,5.99
35122.0,190.0,155969.0,0.017,6.96
35127.0,184.0,155924.0,0.058,6.72
35132.0,113.0,156165.0,-0.017,6.48
35137.0,321.0,156007.0,-0.042,6.23
35142.0,347.0,155908.0,-0.067,6.23
35147.0,384.0,155723.0,0.075,6.23
35153.0,366.0,155665.0,0.083,6.23
35159.0,14.0,156002.0,0.058,6.23
35163.0,149.0,155893.0,0.042,6.23
35169.0,199.0,155573.0,-0.025,6.23
35174.0,305.0,155942.0,-0.008,6.23
35179.0,242.0,156141.0,-0.033,6.48
35184.0,38.0,155715.0,0.05,6.23
35189.0,154.0,155584.0,0.0,6.23
35194.0,43.0,155929.0,0.042,6.23
35200.0,9.0,155923.0,0.108,6.23
35205.0,304.0,155888.0,0.025,6.72
35210.0,-33.0,155866.0,0.083,6.72
35215.0,-241.0,155958.0,0.083,6.72
35220.0,212.0,155919.0,0.05,6.72
35226.0,66.0,156025.0,0.025,6.72
35231.0,70.0,156005.0,0.075,6.72
35236.0,502.0,155732.0,0.025,6.48
35241.0,553.0,155871.0,-0.083,6.23
35247.0,265.0,155793.0,-0.05,6.23
35252.0,555.0,155962.0,-0.033,6.23
35257.0,712.0,155929.0,-0.033,6.23
35263.0,274.0,155963.0,0.033,6.48
35268.0,488.0,155942.0,0.017,6.48
35272.0,185.0,155737.0,0.0,6.48
35278.0,-57.0,155541.0,0.025,6.23
35283.0,269.0,155888.0,0.017,6.48
35289.0,208.0,155833.0,0.042,5.99
35294.0,498.0,155995.0,0.033,6.96
35299.0,138.0,156080.0,0.0,6.72
35304.0,269.0,156156.0,0.017,6.48
35310.0,67.0,155654.0,0.0,6.23
35315.0,87.0,155989.0,0.025,6.23
35319.0,370.0,156078.0,0.192,5.99
35325.0,160.0,155826.0,0.05,6.48
35331.0,190.0,155671.0,0.0,6.96
35336.0,523.0,155682.0,0.083,6.23
35341.0,221.0,155962.0,0.083,6.23
35346.0,-141.0,155937.0,-0.058,6.23
35351.0,10.0,156080.0,0.033,6.72
35356.0,204.0,155730.0,0.083,6.23
35361.0,6.0,155801.0,0.208,6.72
35366.0,-61.0,156087.0,-0.033,5.99
35373.0,223.0,156007.0,0.042,6.23
35378.0,-43.0,156122.0,-0.092,6.72
35383.0,422.0,155853.0,0.108,6.48
35388.0,140.0,155757.0,0.033,6.48
